number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_learning_rate,params_n_layers,state
81,0.2205013380415551,2026-01-17 12:50:30.623191,2026-01-17 12:50:38.978052,0 days 00:00:08.354861,0.32239961448850546,32,1.0093698372780763e-05,2,COMPLETE
82,0.22271502903285295,2026-01-17 12:50:38.988495,2026-01-17 12:50:47.500623,0 days 00:00:08.512128,0.316826212130221,32,1.1294021860152052e-05,2,COMPLETE
83,0.22087959927692616,2026-01-17 12:50:47.512013,2026-01-17 12:50:55.888505,0 days 00:00:08.376492,0.3465350069662672,32,1.0300996341151624e-05,2,COMPLETE
84,0.22708484587129674,2026-01-17 12:50:55.900899,2026-01-17 12:51:04.253058,0 days 00:00:08.352159,0.3241145511968017,32,1.3624577153713089e-05,2,COMPLETE
85,0.2355560316605573,2026-01-17 12:51:04.265567,2026-01-17 12:51:12.561416,0 days 00:00:08.295849,0.41128387306163317,32,1.795396982597683e-05,2,COMPLETE
86,0.2235946249662608,2026-01-17 12:51:12.572388,2026-01-17 12:51:20.950593,0 days 00:00:08.378205,0.30621735685712753,32,1.1767329624390294e-05,2,COMPLETE
87,0.3055945371767037,2026-01-17 12:51:20.961688,2026-01-17 12:51:29.855687,0 days 00:00:08.893999,0.3904641682570452,128,1.1197907456265421e-05,2,COMPLETE
88,0.2205093642436242,2026-01-17 12:51:29.866443,2026-01-17 12:51:38.327020,0 days 00:00:08.460577,0.3627344469274168,32,1.009837020892535e-05,2,COMPLETE
89,0.24108779208820208,2026-01-17 12:51:38.338242,2026-01-17 12:51:46.633540,0 days 00:00:08.295298,0.42130479603221144,32,2.0551839741321652e-05,2,COMPLETE
90,0.3399423130807919,2026-01-17 12:51:46.644670,2026-01-17 12:51:55.063952,0 days 00:00:08.419282,0.17885920692355806,32,6.131249179778487e-05,2,COMPLETE
91,0.22556849054877215,2026-01-17 12:51:55.075136,2026-01-17 12:52:03.585751,0 days 00:00:08.510615,0.34322761013996045,32,1.2825250109470791e-05,2,COMPLETE
92,0.22056640410818285,2026-01-17 12:52:03.597008,2026-01-17 12:52:12.067290,0 days 00:00:08.470282,0.3609433527910797,32,1.0129505180623144e-05,2,COMPLETE
93,0.22036251842778667,2026-01-17 12:52:12.079234,2026-01-17 12:52:20.424378,0 days 00:00:08.345144,0.3637315514247869,32,1.0017784287877426e-05,2,COMPLETE
94,0.2293214526145272,2026-01-17 12:52:20.437411,2026-01-17 12:52:28.826725,0 days 00:00:08.389314,0.36250712280247466,32,1.4802137606716811e-05,2,COMPLETE
95,0.22498911523288123,2026-01-17 12:52:28.838615,2026-01-17 12:52:37.186715,0 days 00:00:08.348100,0.3743624183265065,32,1.2521818121408885e-05,2,COMPLETE
96,0.22258949969100042,2026-01-17 12:52:37.198428,2026-01-17 12:52:45.659270,0 days 00:00:08.460842,0.28932485745180336,32,1.1224636135517807e-05,2,COMPLETE
97,0.3669195768119289,2026-01-17 12:52:45.670252,2026-01-17 12:52:53.922810,0 days 00:00:08.252558,0.3590063249066712,32,9.007723460769461e-05,2,COMPLETE
98,0.3983807665587377,2026-01-17 12:52:53.934800,2026-01-17 12:53:02.300966,0 days 00:00:08.366166,0.3272311919250986,96,1.7320369639051366e-05,2,COMPLETE
99,0.22706252493981863,2026-01-17 12:53:02.311567,2026-01-17 12:53:10.697355,0 days 00:00:08.385788,0.40382005728647363,32,1.3623089345712327e-05,2,COMPLETE
100,0.22052343127766696,2026-01-17 12:53:10.708847,2026-01-17 12:53:19.037852,0 days 00:00:08.329005,0.3704055370181881,32,1.0106713369982265e-05,2,COMPLETE
101,0.22058302898718846,2026-01-17 12:53:19.049147,2026-01-17 12:53:27.407486,0 days 00:00:08.358339,0.3736191218595578,32,1.0139288436874764e-05,2,COMPLETE
102,0.2225027090413253,2026-01-17 12:53:27.418351,2026-01-17 12:53:35.575948,0 days 00:00:08.157597,0.36766680659432127,32,1.1185606909382183e-05,2,COMPLETE
103,0.22511082044743252,2026-01-17 12:53:35.587320,2026-01-17 12:53:43.974901,0 days 00:00:08.387581,0.39398524701961085,32,1.258499427423813e-05,2,COMPLETE
104,0.23057214909942833,2026-01-17 12:53:43.985657,2026-01-17 12:53:52.350081,0 days 00:00:08.364424,0.3536671890557354,32,1.5438680086857144e-05,2,COMPLETE
105,0.3145235790783257,2026-01-17 12:53:52.362212,2026-01-17 12:54:00.501472,0 days 00:00:08.139260,0.38573599750891,64,1.087280149172674e-05,2,COMPLETE
106,0.42046793549775496,2026-01-17 12:54:00.513508,2026-01-17 12:54:08.697961,0 days 00:00:08.184453,0.3391153686406577,16,1.1926018903193812e-05,2,COMPLETE
107,0.22042876442228668,2026-01-17 12:54:08.709290,2026-01-17 12:54:16.920984,0 days 00:00:08.211694,0.36399501364911213,32,1.0054389184679698e-05,2,COMPLETE
108,0.22741335144793792,2026-01-17 12:54:16.931787,2026-01-17 12:54:25.262518,0 days 00:00:08.330731,0.37539554174608714,32,1.3807322613297896e-05,2,COMPLETE
109,0.31474543802951466,2026-01-17 12:54:25.273382,2026-01-17 12:54:34.127339,0 days 00:00:08.853957,0.30471145019581286,128,0.00012159073586155747,2,COMPLETE
110,0.2247121120726419,2026-01-17 12:54:34.140178,2026-01-17 12:54:42.517601,0 days 00:00:08.377423,0.40677766616479316,32,1.2372856237188157e-05,2,COMPLETE
111,0.2218448509390989,2026-01-17 12:54:42.528457,2026-01-17 12:54:51.064202,0 days 00:00:08.535745,0.3629112341214149,32,1.0829216190717925e-05,2,COMPLETE
112,0.2205346686623145,2026-01-17 12:54:51.075523,2026-01-17 12:54:59.397344,0 days 00:00:08.321821,0.3471237468485405,32,1.011183280064804e-05,2,COMPLETE
113,0.2204050265807606,2026-01-17 12:54:59.408642,2026-01-17 12:55:07.686831,0 days 00:00:08.278189,0.33652579023030305,32,1.0040984821611385e-05,2,COMPLETE
114,0.22266699777873034,2026-01-17 12:55:07.697858,2026-01-17 12:55:15.998398,0 days 00:00:08.300540,0.3299007552580632,32,1.1269341125583962e-05,2,COMPLETE
115,0.2267919002272136,2026-01-17 12:55:16.008973,2026-01-17 12:55:24.221524,0 days 00:00:08.212551,0.3465062159029323,32,1.3474882071087226e-05,2,COMPLETE
116,0.23122610168793817,2026-01-17 12:55:24.233522,2026-01-17 12:55:32.503765,0 days 00:00:08.270243,0.31419251845047563,32,1.5765231040502074e-05,2,COMPLETE
117,0.22405962075656674,2026-01-17 12:55:32.514498,2026-01-17 12:55:40.820458,0 days 00:00:08.305960,0.32220937318400117,32,1.2020604471174802e-05,2,COMPLETE
118,0.22220751483342716,2026-01-17 12:55:40.830933,2026-01-17 12:55:49.222712,0 days 00:00:08.391779,0.3363240607344617,32,1.1021273956404301e-05,2,COMPLETE
119,0.22553815210623646,2026-01-17 12:55:49.233651,2026-01-17 12:55:57.637692,0 days 00:00:08.404041,0.35133960203455394,32,1.2808643469571666e-05,2,COMPLETE
120,0.3004374944726755,2026-01-17 12:55:57.649948,2026-01-17 12:56:05.888998,0 days 00:00:08.239050,0.2894216633954282,32,4.1838843137833525e-05,2,COMPLETE
121,0.2204962130083348,2026-01-17 12:56:05.900798,2026-01-17 12:56:14.131901,0 days 00:00:08.231103,0.386145733190645,32,1.0093005968277633e-05,2,COMPLETE
122,0.2203710691479918,2026-01-17 12:56:14.142739,2026-01-17 12:56:22.500866,0 days 00:00:08.358127,0.3880624901512573,32,1.002357420590575e-05,2,COMPLETE
123,0.2233552558036526,2026-01-17 12:56:22.512553,2026-01-17 12:56:30.951583,0 days 00:00:08.439030,0.396543872171736,32,1.1641838386931345e-05,2,COMPLETE
124,0.22038791008503406,2026-01-17 12:56:30.962780,2026-01-17 12:56:39.420154,0 days 00:00:08.457374,0.38493310504885303,32,1.0034000813811533e-05,2,COMPLETE
125,0.22889976106795576,2026-01-17 12:56:39.431217,2026-01-17 12:56:47.784613,0 days 00:00:08.353396,0.42034518037581997,32,1.4590236825733824e-05,2,COMPLETE
126,0.3596332486579722,2026-01-17 12:56:47.795626,2026-01-17 12:56:56.254254,0 days 00:00:08.458628,0.38709040894187224,96,1.2260084861743134e-05,2,COMPLETE
127,0.22226139719428403,2026-01-17 12:56:56.266786,2026-01-17 12:57:04.545321,0 days 00:00:08.278535,0.38295572125913546,32,1.105539671276041e-05,2,COMPLETE
128,0.3113611544073072,2026-01-17 12:57:04.556891,2026-01-17 12:57:12.843101,0 days 00:00:08.286210,0.4298126730921663,64,1.0035986777653405e-05,2,COMPLETE
129,0.2268162621546197,2026-01-17 12:57:12.853694,2026-01-17 12:57:21.144572,0 days 00:00:08.290878,0.40010436630067137,32,1.3489683690459956e-05,2,COMPLETE
130,0.40912443112401725,2026-01-17 12:57:21.155068,2026-01-17 12:57:29.414138,0 days 00:00:08.259070,0.38788583596845194,32,0.0003209534694765199,2,COMPLETE
131,0.2223327907422239,2026-01-17 12:57:29.426438,2026-01-17 12:57:37.878627,0 days 00:00:08.452189,0.36949322968956233,32,1.1094850318044054e-05,2,COMPLETE
132,0.22393071144415005,2026-01-17 12:57:37.889666,2026-01-17 12:57:46.239047,0 days 00:00:08.349381,0.3780802761885953,32,1.1954289199761355e-05,2,COMPLETE
133,0.22033371144289224,2026-01-17 12:57:46.250351,2026-01-17 12:57:54.630964,0 days 00:00:08.380613,0.41008856984293196,32,1.0005992303542214e-05,2,COMPLETE
134,0.4194534089324261,2026-01-17 12:57:54.644486,2026-01-17 12:58:02.969180,0 days 00:00:08.324694,0.4173315426253549,16,1.0883869492401006e-05,2,COMPLETE
135,0.225294084545002,2026-01-17 12:58:02.980510,2026-01-17 12:58:11.458870,0 days 00:00:08.478360,0.3948375590199918,32,1.2684671724437986e-05,2,COMPLETE
