Municipio,Ano,Area
Bandeira,2016,80
Bandeira,2017,80
Bandeira,2018,60
Bandeira,2019,60
Bandeira,2020,60
Bandeira,2021,50
Bandeira,2022,40
Bandeira,2023,40
Bandeira,2024,40
Bandeira_do_Sul,2012,450
Bandeira_do_Sul,2013,450
Bandeira_do_Sul,2014,400
Bandeira_do_Sul,2015,350
Bandeira_do_Sul,2016,430
Bandeira_do_Sul,2017,308
Bandeira_do_Sul,2018,430
Bandeira_do_Sul,2019,430
Bandeira_do_Sul,2020,342
Bandeira_do_Sul,2021,342
Bandeira_do_Sul,2022,290
Bandeira_do_Sul,2023,290
Bandeira_do_Sul,2024,370
Berilo,2012,100
Berilo,2013,70
Berilo,2014,60
Berilo,2015,70
Berilo,2016,70
Berilo,2017,2
Berilo,2018,70
Berilo,2019,70
Berilo,2020,70
Berilo,2021,116
Berilo,2022,176
Berilo,2023,179
Berilo,2024,176
Berizal,2012,226
Berizal,2013,226
Berizal,2014,350
Berizal,2015,300
Berizal,2016,333
Berizal,2017,330
Berizal,2018,300
Berizal,2019,300
Berizal,2020,338
Berizal,2021,310
Berizal,2022,310
Berizal,2023,310
Berizal,2024,310
Boa_Esperanca,2012,17400
Boa_Esperanca,2013,17400
Boa_Esperanca,2014,15700
Boa_Esperanca,2015,15265
Boa_Esperanca,2016,17500
Boa_Esperanca,2017,10500
Boa_Esperanca,2018,15650
Boa_Esperanca,2019,11000
Boa_Esperanca,2020,15700
Boa_Esperanca,2021,13506
Boa_Esperanca,2022,14320
Boa_Esperanca,2023,12600
Boa_Esperanca,2024,8630
Bocaiuva,2012,170
Bocaiuva,2013,170
Bocaiuva,2014,170
Bocaiuva,2015,150
Bocaiuva,2016,150
Bocaiuva,2017,150
Bocaiuva,2018,180
Bocaiuva,2019,130
Bocaiuva,2020,122
Bocaiuva,2021,162
Bocaiuva,2022,160
Bocaiuva,2023,160
Bocaiuva,2024,182
Bom_Jesus_da_Penha,2012,1935
Bom_Jesus_da_Penha,2013,2084
Bom_Jesus_da_Penha,2014,2420
Bom_Jesus_da_Penha,2015,2670
Bom_Jesus_da_Penha,2016,2630
Bom_Jesus_da_Penha,2017,2115
Bom_Jesus_da_Penha,2018,2845
Bom_Jesus_da_Penha,2019,3055
Bom_Jesus_da_Penha,2020,3594
Bom_Jesus_da_Penha,2021,2814
Bom_Jesus_da_Penha,2022,1945
Bom_Jesus_da_Penha,2023,2200
Bom_Jesus_da_Penha,2024,2500
Bom_Jesus_do_Amparo,2012,150
Bom_Jesus_do_Amparo,2013,130
Bom_Jesus_do_Amparo,2014,110
Bom_Jesus_do_Amparo,2015,130
Bom_Jesus_do_Amparo,2016,130
Bom_Jesus_do_Amparo,2017,3
Bom_Jesus_do_Amparo,2018,5
Bom_Jesus_do_Amparo,2019,5
Bom_Jesus_do_Amparo,2020,6
Bom_Jesus_do_Amparo,2021,5
Bom_Jesus_do_Amparo,2022,5
Bom_Jesus_do_Amparo,2023,4
Bom_Jesus_do_Amparo,2024,4
Bom_Jesus_do_Galho,2012,2000
Bom_Jesus_do_Galho,2013,2000
Bom_Jesus_do_Galho,2014,1800
Bom_Jesus_do_Galho,2015,2000
Bom_Jesus_do_Galho,2016,2000
Bom_Jesus_do_Galho,2017,1700
Bom_Jesus_do_Galho,2018,1720
Bom_Jesus_do_Galho,2019,1720
Bom_Jesus_do_Galho,2020,1500
Bom_Jesus_do_Galho,2021,1015
Bom_Jesus_do_Galho,2022,1260
Bom_Jesus_do_Galho,2023,1253
Bom_Jesus_do_Galho,2024,1000
Bom_Sucesso,2012,3000
Bom_Sucesso,2013,3060
Bom_Sucesso,2014,2500
Bom_Sucesso,2015,2650
Bom_Sucesso,2016,2650
Bom_Sucesso,2017,2466
Bom_Sucesso,2018,2500
Bom_Sucesso,2019,2950
Bom_Sucesso,2020,2830
Bom_Sucesso,2021,2835
Bom_Sucesso,2022,2940
Bom_Sucesso,2023,3350
Bom_Sucesso,2024,3490
Bonfinopolis_de_Minas,2012,1025
Bonfinopolis_de_Minas,2013,1025
Bonfinopolis_de_Minas,2014,1085
Bonfinopolis_de_Minas,2015,1000
Bonfinopolis_de_Minas,2016,1020
Bonfinopolis_de_Minas,2017,750
Bonfinopolis_de_Minas,2018,810
Bonfinopolis_de_Minas,2019,810
