municipio,ano,target,cdd_5,cdd_9,prcptot_3,precomediocafe,tnn_5,tnn_6,tnn_7,txx_11,txx_9,wd30_10,wd30_11,wd30_9,cdd_6,tnn_8,prcptot_2,prcptot_11,wd30_2,wd30_3,txx_10,altitude_Terras Baixas,altitude_Terras de Média Altitude,altitude_Terras Altas,altitude_Terras Muito Altas
Aricanduva,2017,0.8744186046511628,13.0,25.0,213.56,155.69750000000002,11.01,8.07,8.68,31.94,33.72,16.0,5.0,9.0,27.0,9.54,216.62,150.12,0.0,6.0,35.76,False,False,True,False
Aricanduva,2018,0.9608695652173912,16.0,29.0,179.06,139.60083333333333,10.84,10.51,9.18,31.61,29.61,13.0,5.0,0.0,30.0,8.02,233.56,191.0,2.0,9.0,34.82,False,False,True,False
Aricanduva,2019,0.9608695652173912,22.0,16.0,172.44,109.61,13.76,10.33,9.73,31.42,33.11,14.0,1.0,9.0,30.0,11.76,285.84,283.88,19.0,15.0,34.13,False,False,True,False
Aricanduva,2020,1.319642857142857,13.0,21.0,51.31,110.44833333333334,7.93,9.82,6.96,36.46,33.74,14.0,15.0,11.0,18.0,6.65,211.19,137.25,8.0,1.0,34.23,False,False,True,False
Aricanduva,2021,0.8394736842105263,22.0,20.0,135.88,114.73333333333332,8.5,9.48,9.45,31.84,35.14,15.0,7.0,7.0,28.0,6.69,248.38,32.12,2.0,9.0,37.64,False,False,True,False
Ataleia,2012,0.7230769230769231,11.0,14.0,85.81,255.14083333333332,16.69,12.77,13.18,32.64,35.64,16.0,8.0,11.0,20.0,13.15,146.88,109.69,26.0,28.0,33.9,False,True,False,False
Ataleia,2013,0.7230769230769231,27.0,19.0,158.06,172.1825,16.58,15.73,13.35,35.51,35.17,20.0,10.0,13.0,12.0,14.39,221.5,163.69,28.0,27.0,39.6,False,True,False,False
Ataleia,2014,0.6,22.0,15.0,209.5,137.595,13.37,15.56,14.38,34.45,36.39,13.0,16.0,9.0,12.0,12.96,216.31,89.56,26.0,26.0,34.9,False,True,False,False
Ataleia,2015,0.9076923076923076,6.0,9.0,167.5,168.48333333333332,15.75,14.99,14.2,33.68,36.99,20.0,21.0,17.0,28.0,13.07,153.94,211.56,25.0,31.0,37.27,False,True,False,False
Ataleia,2016,0.9076923076923076,8.0,7.0,148.88,129.3216666666667,15.85,14.06,16.01,38.56,37.02,28.0,29.0,27.0,29.0,13.97,228.69,157.25,29.0,31.0,37.72,False,True,False,False
Ataleia,2017,0.6506024096385542,12.0,25.0,201.31,155.69750000000002,15.07,13.83,13.66,34.51,34.71,19.0,16.0,18.0,24.0,13.69,207.81,163.56,19.0,28.0,38.54,False,True,False,False
Ataleia,2018,0.9,16.0,29.0,151.38,139.60083333333333,13.97,15.23,12.13,34.11,31.33,25.0,14.0,2.0,18.0,12.56,256.56,237.25,23.0,26.0,37.23,False,True,False,False
Ataleia,2019,0.9,19.0,14.0,143.38,109.61,17.83,14.9,14.08,34.27,35.72,20.0,18.0,17.0,30.0,14.84,258.38,197.5,28.0,27.0,36.79,False,True,False,False
Ataleia,2020,1.204819277108434,7.0,21.0,62.19,110.44833333333334,12.36,14.6,12.24,37.9,33.63,25.0,18.0,17.0,26.0,13.08,197.0,107.81,26.0,16.0,36.06,False,True,False,False
Ataleia,2021,0.6266666666666667,22.0,20.0,116.38,114.73333333333332,13.07,12.52,13.16,33.75,37.21,17.0,15.0,23.0,30.0,10.94,116.25,38.06,20.0,30.0,38.53,False,True,False,False
Bandeira,2012,0.8,12.0,11.0,241.69,255.14083333333332,15.72,10.71,10.89,30.8,32.69,11.0,4.0,6.0,20.0,10.54,188.94,114.44,18.0,26.0,31.81,False,True,False,False
Bandeira,2013,0.8375,29.0,15.0,210.38,172.1825,13.89,13.51,10.73,34.98,32.96,13.0,6.0,9.0,15.0,11.26,323.12,277.69,24.0,28.0,35.43,False,True,False,False
Bandeira,2014,1.2,14.0,15.0,260.5,137.595,11.79,11.87,11.68,32.93,32.37,10.0,14.0,4.0,23.0,10.22,250.69,221.56,18.0,17.0,33.73,False,True,False,False
Bandeira,2015,0.9625,4.0,11.0,302.25,168.48333333333332,14.36,12.32,12.1,31.63,34.13,11.0,3.0,7.0,28.0,9.76,267.94,270.75,13.0,20.0,33.15,False,True,False,False
Bandeira,2016,0.9,17.0,13.0,293.44,129.3216666666667,13.16,12.84,13.2,35.23,32.78,22.0,27.0,19.0,30.0,11.59,124.88,256.12,29.0,30.0,34.28,False,True,False,False
Bandeira,2017,0.9,15.0,15.0,251.88,155.69750000000002,14.09,10.74,12.2,30.74,31.93,9.0,5.0,7.0,23.0,10.39,313.88,213.12,10.0,18.0,33.67,False,True,False,False
Bandeira,2018,0.9,11.0,25.0,202.0,139.60083333333333,12.87,11.27,11.96,32.2,29.19,13.0,10.0,0.0,30.0,9.45,188.75,219.44,14.0,19.0,33.38,False,True,False,False
Bandeira,2019,0.9,22.0,13.0,215.0,109.61,16.79,11.5,10.23,31.45,32.32,19.0,3.0,14.0,30.0,12.64,223.34,291.69,28.0,22.0,34.32,False,True,False,False
Bandeira,2020,1.083333333333333,17.0,23.0,124.19,110.44833333333334,11.19,12.08,10.43,35.57,30.82,20.0,22.0,8.0,30.0,11.59,280.31,207.81,27.0,11.0,33.85,False,True,False,False
Bandeira,2021,0.96,22.0,22.0,286.62,114.73333333333332,10.45,10.99,10.19,31.46,33.17,16.0,6.0,6.0,30.0,8.84,219.56,58.31,18.0,29.0,37.19,False,True,False,False
Berilo,2012,0.96,12.0,17.0,95.0,255.14083333333332,14.53,11.09,8.9,32.88,37.23,19.0,11.0,18.0,20.0,10.4,130.38,82.62,27.0,31.0,36.08,False,False,True,False
Berilo,2013,0.9571428571428572,29.0,15.0,173.19,172.1825,14.63,12.61,9.62,36.82,37.07,27.0,8.0,19.0,15.0,10.54,173.94,235.94,24.0,23.0,37.21,False,False,True,False
Berilo,2014,0.9,22.0,26.0,135.12,137.595,12.56,14.63,12.61,34.48,37.86,19.0,19.0,14.0,27.0,11.65,195.75,167.75,24.0,14.0,36.21,False,False,True,False
Berilo,2015,0.9,16.0,12.0,149.75,168.48333333333332,15.01,13.59,13.78,33.57,36.86,18.0,15.0,17.0,27.0,11.08,174.19,286.94,19.0,22.0,38.28,False,False,True,False
Berilo,2016,0.6,10.0,13.0,154.62,129.3216666666667,14.0,13.18,14.79,39.3,36.81,27.0,28.0,27.0,30.0,12.01,190.12,111.25,29.0,30.0,38.1,False,False,True,False
Berilo,2017,1.0,19.0,14.0,94.62,155.69750000000002,14.62,11.55,10.59,33.45,36.46,21.0,18.0,20.0,26.0,11.77,179.44,139.94,14.0,24.0,37.33,False,False,True,False
Berilo,2018,0.7142857142857143,11.0,28.0,132.19,139.60083333333333,13.48,12.11,12.11,34.78,32.52,25.0,15.0,3.0,30.0,11.21,208.62,186.69,15.0,21.0,37.4,False,False,True,False
Berilo,2019,0.7142857142857143,17.0,13.0,117.38,109.61,16.42,13.47,10.9,33.79,35.35,22.0,16.0,20.0,16.0,13.23,207.66,243.75,28.0,25.0,36.98,False,False,True,False
Berilo,2020,0.8428571428571429,13.0,24.0,85.81,110.44833333333334,10.92,11.65,9.2,39.79,36.99,29.0,25.0,24.0,30.0,10.84,284.12,142.31,27.0,13.0,37.84,False,False,True,False
Berilo,2021,1.801724137931034,19.0,20.0,131.38,114.73333333333332,9.78,11.65,10.02,34.28,38.7,21.0,14.0,26.0,22.0,8.66,123.44,30.38,16.0,29.0,41.62,False,False,True,False
Berizal,2012,0.6194690265486725,12.0,11.0,157.19,255.14083333333332,11.21,9.83,8.66,31.27,35.62,15.0,4.0,12.0,20.0,7.13,143.12,108.44,19.0,27.0,34.23,False,False,True,False
Berizal,2013,0.8982300884955752,29.0,15.0,206.94,172.1825,12.31,11.34,7.44,37.47,36.38,19.0,9.0,15.0,15.0,8.56,311.19,220.88,20.0,27.0,37.23,False,False,True,False
Berizal,2014,0.9,15.0,22.0,220.0,137.595,9.03,9.41,8.67,34.84,36.86,18.0,16.0,10.0,23.0,7.77,184.81,222.06,20.0,13.0,37.12,False,False,True,False
Berizal,2015,1.08,9.0,7.0,341.25,168.48333333333332,12.7,9.74,9.06,33.38,36.04,17.0,15.0,14.0,26.0,8.25,187.12,233.5,20.0,22.0,35.89,False,False,True,False
Berizal,2016,3.0,17.0,15.0,235.19,129.3216666666667,11.6,11.2,11.52,37.21,35.93,27.0,29.0,28.0,27.0,8.87,114.31,187.56,29.0,27.0,36.78,False,False,True,False
Berizal,2017,0.5515151515151515,14.0,20.0,226.88,155.69750000000002,11.71,8.06,9.33,32.81,34.85,19.0,16.0,17.0,23.0,8.6,259.5,235.19,15.0,27.0,37.01,False,False,True,False
Berizal,2018,1.2,14.0,26.0,156.81,139.60083333333333,11.39,11.34,10.53,34.01,31.95,25.0,17.0,3.0,30.0,9.48,226.31,217.12,11.0,18.0,35.57,False,False,True,False
Berizal,2019,1.2,24.0,13.0,152.62,109.61,14.84,8.59,8.17,32.04,34.99,22.0,8.0,20.0,30.0,10.58,198.5,255.69,28.0,20.0,36.15,False,False,True,False
Berizal,2020,3.340236686390532,17.0,23.0,101.56,110.44833333333334,8.93,9.85,7.14,36.76,34.05,27.0,25.0,19.0,30.0,9.32,282.81,175.25,26.0,8.0,35.72,False,False,True,False
Berizal,2021,3.541935483870968,22.0,22.0,245.38,114.73333333333332,7.77,9.3,9.13,32.84,36.4,20.0,10.0,19.0,30.0,8.36,186.81,60.69,13.0,28.0,39.56,False,False,True,False
Bonfinopolis_de_Minas,2012,2.0,12.0,10.0,110.5,255.14083333333332,13.82,10.7,9.64,34.62,38.18,20.0,16.0,28.0,20.0,11.2,146.44,94.75,24.0,28.0,36.2,False,False,True,False
Bonfinopolis_de_Minas,2013,2.0,29.0,15.0,166.81,172.1825,14.03,13.29,10.25,35.1,38.97,30.0,20.0,29.0,15.0,11.19,248.12,238.81,26.0,26.0,40.51,False,False,True,False
Bonfinopolis_de_Minas,2014,2.63963133640553,22.0,19.0,137.44,137.595,11.17,13.05,11.74,36.41,38.4,24.0,22.0,27.0,22.0,10.54,195.75,196.62,24.0,21.0,37.3,False,False,True,False
Bonfinopolis_de_Minas,2015,1.8,9.0,12.0,193.5,168.48333333333332,13.53,10.88,10.76,35.65,37.7,30.0,24.0,27.0,28.0,10.39,187.0,234.0,21.0,22.0,39.21,False,False,True,False
