municipio,ano,target,cdd_5,cdd_6,precomediocafe,tnn_5,tnn_6,tnn_7,txx_1,txx_10,txx_12,txx_2,txx_9,wd30_2,prcptot_1,prcptot_11,cdd_8,cdd_9,prcptot_2,wd30_10,prcptot_12,wd30_1,cdd_7,altitude_Terras Baixas,altitude_Terras de Média Altitude,altitude_Terras Altas,altitude_Terras Muito Altas
Antonio_Prado_de_Minas,2016,0.9,9.0,15.0,129.3216666666667,13.73,11.04,12.45,36.92,39.33,35.34,36.35,37.87,27.0,263.81,62.62,26.0,12.0,169.25,20.0,117.69,19.0,15.0,False,True,False,False
Antonio_Prado_de_Minas,2017,0.8536585365853658,7.0,23.0,155.69750000000002,12.02,8.48,11.22,35.83,35.9,35.59,34.15,35.1,27.0,190.12,28.0,15.0,24.0,60.25,13.0,171.38,29.0,15.0,False,True,False,False
Antonio_Prado_de_Minas,2018,1.204819277108434,12.0,17.0,139.60083333333333,9.83,12.3,10.11,36.19,36.46,36.14,33.71,34.38,19.0,200.56,104.81,13.0,28.0,102.62,23.0,177.06,28.0,31.0,False,True,False,False
Antonio_Prado_de_Minas,2019,0.5975609756097561,21.0,17.0,109.61,14.31,12.15,11.42,37.29,34.8,36.36,38.2,32.76,22.0,103.38,65.0,15.0,10.0,143.12,15.0,58.31,31.0,31.0,False,True,False,False
Antonio_Prado_de_Minas,2020,1.5,11.0,23.0,110.44833333333334,9.17,10.59,8.19,36.69,34.86,34.6,35.66,36.99,19.0,177.81,94.19,31.0,15.0,93.12,23.0,131.56,18.0,25.0,False,True,False,False
Antonio_Prado_de_Minas,2021,0.9,22.0,22.0,114.73333333333332,12.3,10.77,12.68,34.65,37.75,34.14,35.13,35.98,16.0,254.81,72.88,15.0,21.0,44.62,12.0,69.56,28.0,28.0,False,True,False,False
Antonio_Prado_de_Minas,2022,1.2,15.0,19.0,218.93666666666664,9.03,10.8,9.51,34.12,31.68,34.25,33.77,35.52,13.0,91.19,93.56,27.0,11.0,88.75,6.0,121.31,21.0,16.0,False,True,False,False
Antonio_Prado_de_Minas,2023,1.485714285714286,27.0,12.0,208.05916666666667,11.08,8.84,12.06,32.73,33.06,33.85,35.72,34.56,26.0,333.19,50.19,12.0,13.0,197.03,11.0,80.62,16.0,18.0,False,True,False,False
Antonio_Prado_de_Minas,2024,1.933333333333333,23.0,15.0,191.20333333333332,14.48,9.44,8.93,36.26,35.48,35.96,34.78,36.17,23.0,171.31,160.12,18.0,15.0,77.75,19.0,47.44,20.0,31.0,False,True,False,False
Antonio_Prado_de_Minas,2025,0.0,16.0,30.0,328.62583333333333,13.98,12.33,11.54,36.68,36.37,34.51,36.49,35.08,28.0,180.88,149.0,14.0,15.0,134.94,13.0,67.75,20.0,21.0,False,True,False,False
Bocaiuva,2012,2.7,12.0,20.0,255.14083333333332,13.33,10.22,9.15,32.63,33.88,31.34,33.56,35.59,18.0,271.19,68.19,31.0,15.0,151.5,14.0,127.56,13.0,31.0,False,False,True,False
Bocaiuva,2013,2.7,29.0,15.0,172.1825,12.16,11.9,9.65,34.1,37.09,34.93,34.57,35.78,26.0,197.0,181.0,31.0,15.0,190.5,26.0,133.5,14.0,31.0,False,False,True,False
Bocaiuva,2014,2.7,22.0,14.0,137.595,10.31,11.74,10.63,32.79,35.9,32.58,32.25,37.32,26.0,127.31,139.56,31.0,22.0,184.88,18.0,213.31,21.0,31.0,False,False,True,False
Bocaiuva,2015,1.8,17.0,27.0,168.48333333333332,12.36,10.31,10.92,36.43,37.1,35.16,35.01,35.27,18.0,166.94,309.44,31.0,8.0,173.06,18.0,282.94,31.0,23.0,False,False,True,False
Bocaiuva,2016,1.8,10.0,30.0,129.3216666666667,12.62,10.85,11.31,36.76,38.66,35.59,34.93,38.03,28.0,267.62,109.69,27.0,20.0,174.81,31.0,141.25,8.0,22.0,False,False,True,False
Bocaiuva,2017,1.62,16.0,25.0,155.69750000000002,12.35,8.85,11.04,35.67,36.17,33.18,32.47,35.59,15.0,210.56,166.19,19.0,26.0,195.88,20.0,139.81,27.0,31.0,False,False,True,False
Bocaiuva,2018,1.8,11.0,30.0,139.60083333333333,11.67,11.25,10.77,33.84,36.69,33.77,31.19,32.7,5.0,199.94,151.81,13.0,25.0,192.62,29.0,236.75,23.0,31.0,False,False,True,False
Bocaiuva,2019,1.623076923076923,20.0,16.0,109.61,15.81,10.89,10.75,34.75,36.18,33.69,36.07,35.27,20.0,130.0,270.44,24.0,13.0,226.81,24.0,136.59,29.0,31.0,False,False,True,False
Bocaiuva,2020,1.622950819672131,13.0,30.0,110.44833333333334,8.73,11.91,8.95,34.56,35.7,34.8,32.46,36.27,15.0,175.25,122.0,31.0,24.0,273.25,28.0,175.38,16.0,26.0,False,False,True,False
Bocaiuva,2021,1.740740740740741,20.0,30.0,114.73333333333332,12.2,10.49,10.33,34.2,39.12,32.67,33.34,37.3,5.0,147.75,24.06,31.0,20.0,136.12,21.0,220.38,25.0,31.0,False,False,True,False
Bocaiuva,2022,3.6,31.0,19.0,218.93666666666664,6.02,9.43,9.06,31.69,36.71,30.88,31.75,37.26,8.0,215.62,118.19,29.0,25.0,240.5,19.0,198.25,17.0,31.0,False,False,True,False
Bocaiuva,2023,3.0,28.0,12.0,208.05916666666667,11.36,8.77,10.95,30.67,34.57,31.54,32.77,35.65,24.0,195.69,37.94,12.0,18.0,158.97,21.0,153.69,1.0,31.0,False,False,True,False
