number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
93,0.23924462688554218,2025-12-22 21:44:39.661733,2025-12-22 21:45:06.108282,0 days 00:00:26.446549,0.0007190059981479444,COMPLETE
94,0.5219206346781486,2025-12-22 21:45:06.119948,2025-12-22 21:45:33.584832,0 days 00:00:27.464884,4.000009167270174e-05,COMPLETE
95,0.21815410393576185,2025-12-22 21:45:33.597229,2025-12-22 21:46:00.128626,0 days 00:00:26.531397,0.0006690322137532454,COMPLETE
96,0.33782890841821017,2025-12-22 21:46:00.139817,2025-12-22 21:46:27.586648,0 days 00:00:27.446831,0.00039114696865638545,COMPLETE
97,0.3433771449945284,2025-12-22 21:46:27.597334,2025-12-22 21:46:54.163959,0 days 00:00:26.566625,0.0006182686865210661,COMPLETE
98,0.6306705248819497,2025-12-22 21:46:54.175844,2025-12-22 21:47:21.577045,0 days 00:00:27.401201,8.078320352814233e-05,COMPLETE
99,0.33923433667880104,2025-12-22 21:47:21.594109,2025-12-22 21:47:48.681316,0 days 00:00:27.087207,0.000507794645216946,COMPLETE
100,0.3195045506458994,2025-12-22 21:47:48.692434,2025-12-22 21:48:15.471550,0 days 00:00:26.779116,0.0009068941387120854,COMPLETE
101,0.22692460719880955,2025-12-22 21:48:15.482745,2025-12-22 21:48:42.173590,0 days 00:00:26.690845,0.000670165207086384,COMPLETE
102,0.3000370644578425,2025-12-22 21:48:42.184936,2025-12-22 21:49:09.019989,0 days 00:00:26.835053,0.0007993079105719337,COMPLETE
103,0.2563442523244618,2025-12-22 21:49:09.031782,2025-12-22 21:49:35.516110,0 days 00:00:26.484328,0.0007467899772472005,COMPLETE
104,0.29441431020771996,2025-12-22 21:49:35.527168,2025-12-22 21:50:02.319410,0 days 00:00:26.792242,0.0009986395910973889,COMPLETE
105,0.3449895311877119,2025-12-22 21:50:02.330752,2025-12-22 21:50:30.065539,0 days 00:00:27.734787,0.0005805621265943949,COMPLETE
106,0.3068189132839548,2025-12-22 21:50:30.082649,2025-12-22 21:50:56.654234,0 days 00:00:26.571585,0.0008767899192957447,COMPLETE
107,0.23919608693103345,2025-12-22 21:50:56.668834,2025-12-22 21:51:23.173586,0 days 00:00:26.504752,0.0006640453665393104,COMPLETE
